구역 코드,위치,NE,지역
UA 9,양평,"[(37.45, 127.38333333333334), (37.50277777777778, 127.38333333333334), (37.50277777777778, 127.53333333333333), (37.45, 127.53333333333333)]",양평시
UA 14,세종(공주),"[(36.45805555555556, 126.96388888888889), (36.510555555555555, 127.00916666666667), (36.50055555555556, 127.12027777777777), (36.43444444444444, 127.09805555555555)]",세종시
UA 19,수원(시화호),"[(37.212500000000006, 126.67472222222223), (37.21222222222222, 126.56166666666667), (37.23722222222222, 126.55527777777777), (37.2975, 126.70416666666667), (37.29, 126.83333333333333), (37.24166666666667, 126.83333333333333), (37.22083333333334, 126.77444444444444)]",수원시
UA 25,광양(하동),"[(34.98777777777778, 127.72333333333333), (35.02972222222222, 127.72361111111111), (35.02916666666667, 127.79472222222222), (34.987500000000004, 127.79416666666667)]",광양시
UA 26,영월(장암산),"[(37.36972222222222, 128.39194444444445), (37.39388888888889, 128.4052777777778), (37.40277777777778, 128.46944444444443), (37.36472222222223, 128.4361111111111)]",영월시
* UA 31,인천(청라),"[(37.5625, 126.62666666666667), (37.565, 126.625), (37.56666666666667, 126.62888888888888), (37.564166666666665, 126.63055555555555)]",인천시
* UA 33,청주(병천천),"[(36.647777777777776, 127.34972222222221), (36.651111111111106, 127.35083333333333), (36.650555555555556, 127.35305555555556), (36.64722222222222, 127.35166666666666)]",청주시
* UA 34,청주(미호천),"[(36.61388888888889, 127.3425), (36.61944444444445, 127.34666666666666), (36.61805555555556, 127.35138888888888), (36.61, 127.34694444444445)]",청주시
* UA 35,김해,"[(35.34527777777778, 128.8063888888889), (35.34916666666667, 128.80416666666667), (35.35027777777778, 128.80694444444447), (35.34638888888889, 128.80916666666667)]",김해시
* UA 36,밀양,"[(35.46388888888889, 128.77416666666667), (35.466944444444444, 128.77833333333334), (35.45805555555556, 128.78722222222223), (35.45472222222222, 128.78305555555556)]",밀양시
* UA 37,창원,"[(35.37027777777778, 128.64888888888888), (35.37722222222222, 128.64888888888888), (35.37722222222222, 128.65861111111113), (35.37027777777778, 128.65583333333333)]",창원시
* UA 38,울산(울주),"[(35.52361111111111, 129.1627777777778), (35.52472222222222, 129.16305555555556), (35.52444444444444, 129.16583333333335), (35.525, 129.16694444444443), (35.52388888888889, 129.1675), (35.52333333333333, 129.16694444444443)]",울산시
* UA 39,군산(김제),"[(35.91083333333333, 126.89194444444445), (35.90972222222222, 126.88444444444445), (35.915, 126.8825), (35.91611111111111, 126.89416666666668), (35.91027777777778, 126.90555555555557), (35.90555555555555, 126.90222222222222)]",군산시
* UA 41,대전,"[(36.45194444444445, 127.385), (36.465, 127.39055555555557), (36.465833333333336, 127.4075), (36.45277777777778, 127.41083333333334)]",대전시
**UA 43,영월,"[(37.17611111111111, 128.46027777777778), (37.17666666666666, 128.4608333333333), (37.17527777777777, 128.46249999999998), (37.17472222222222, 128.46194444444444)]",영월시
,대전(대전 금강변 드론공원),"[(36.465, 127.39055555555557), (36.465833333333336, 127.4075), (36.45277777777778, 127.41083333333334), (36.45194444444445, 127.385)]",대전시
